Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,318.0,321.5,317.0,320.0,219.99932861328125,1447000
2017-06-02,322.5,325.5,322.0,322.0,221.374267578125,3149000
2017-06-05,331.0,341.5,331.0,339.0,233.06178283691406,7562000
2017-06-06,345.0,361.0,343.5,354.0,243.37425231933594,13014000
2017-06-07,357.5,358.0,346.0,346.0,237.87423706054688,7506000
2017-06-08,346.0,356.5,346.0,354.0,243.37425231933594,5178000
2017-06-09,351.0,360.5,351.0,358.0,246.12420654296875,4210000
2017-06-12,351.0,357.0,351.0,356.0,244.74923706054688,3130000
2017-06-13,353.5,354.5,349.0,351.5,241.6554718017578,3293000
2017-06-14,358.0,366.0,356.5,361.0,248.18670654296875,6513000
2017-06-15,365.0,365.0,353.5,356.0,244.74923706054688,3880000
2017-06-16,356.0,362.0,352.0,362.0,248.87423706054688,3656000
2017-06-19,360.5,363.0,358.0,358.0,246.12420654296875,3489000
2017-06-20,363.0,371.5,363.0,368.0,252.99917602539062,7287000
2017-06-21,366.0,370.0,362.5,369.0,253.68667602539062,3108000
2017-06-22,366.0,371.0,365.5,366.0,251.62425231933594,3073000
2017-06-23,376.0,382.5,364.0,364.0,250.24920654296875,8227000
2017-06-26,364.0,372.0,363.5,372.0,255.74917602539062,5415000
2017-06-27,373.5,377.0,369.0,372.0,255.74917602539062,3299000
2017-06-28,368.0,369.0,361.0,364.5,250.5929718017578,3999000
2017-06-29,368.0,369.5,362.0,362.0,248.87423706054688,2978000
2017-06-30,362.0,366.0,357.0,363.5,249.90548706054688,3576000
2017-07-03,362.0,365.5,360.5,365.0,250.93670654296875,1952000
2017-07-04,368.0,369.0,359.5,359.5,247.15550231933594,3579000
2017-07-05,362.0,370.0,356.0,370.0,254.3741912841797,4255000
2017-07-06,375.5,377.0,372.0,374.0,257.12420654296875,4613000
2017-07-07,372.5,373.0,368.0,368.0,252.99917602539062,2200000
2017-07-10,370.5,372.0,368.5,370.0,254.3741912841797,2427000
2017-07-11,371.0,381.0,371.0,378.0,259.8741760253906,7821000
2017-07-12,381.0,384.0,378.0,384.0,263.9991455078125,4518000
2017-07-13,384.0,384.0,380.0,380.5,261.5929260253906,2302000
2017-07-14,384.0,388.0,383.0,386.0,265.3741760253906,4563000
2017-07-17,383.0,387.0,383.0,386.0,265.3741760253906,2190000
2017-07-18,385.0,387.0,383.0,383.0,263.3116455078125,2937000
2017-07-19,379.5,381.0,375.0,377.0,259.1866760253906,4534000
2017-07-20,373.0,375.0,361.5,367.0,252.3117218017578,6662000
2017-07-21,364.0,365.0,358.0,359.5,247.15550231933594,8225000
2017-07-24,360.0,369.0,360.0,369.0,253.68667602539062,4300000
2017-07-25,372.0,372.5,367.5,369.0,253.68667602539062,2500000
2017-07-26,370.0,371.5,362.5,362.5,249.21792602539062,3193000
2017-07-27,367.0,368.0,363.5,365.0,250.93670654296875,3274000
2017-07-28,365.0,366.5,356.0,356.0,244.74923706054688,3807000
2017-07-31,355.0,357.0,347.0,347.0,238.5617218017578,7538000
2017-08-01,351.5,367.5,351.0,365.0,250.93670654296875,8900000
2017-08-02,372.0,378.5,372.0,375.0,257.81170654296875,9547000
2017-08-03,380.0,386.0,376.0,376.5,258.84295654296875,7372000
2017-08-04,378.0,383.0,377.0,377.5,259.53045654296875,3696000
2017-08-07,384.0,399.0,384.0,392.0,269.4991760253906,10984000
2017-08-08,393.0,393.0,380.0,385.0,264.6866455078125,7428000
2017-08-09,392.0,395.0,380.0,382.0,262.6241455078125,5870000
2017-08-10,380.0,380.5,362.5,373.5,256.78045654296875,6486000
2017-08-11,370.0,376.0,369.0,372.0,255.74917602539062,4892000
2017-08-14,377.0,377.0,370.0,372.5,256.09295654296875,2739000
2017-08-15,380.0,380.5,368.0,369.0,253.68667602539062,3130000
2017-08-16,369.0,374.5,367.0,369.0,253.68667602539062,2585000
2017-08-17,374.0,379.0,371.5,377.5,259.53045654296875,2565000
2017-08-18,372.0,374.0,366.5,371.0,255.06166076660156,3820000
2017-08-21,375.0,375.5,370.0,371.5,255.40545654296875,1699523
2017-08-22,378.0,382.0,375.5,378.5,260.2179260253906,3372893
2017-08-23,381.0,382.0,372.0,374.0,257.12420654296875,3287481
2017-08-24,374.0,380.5,374.0,377.0,259.1866760253906,1964954
2017-08-25,381.0,390.0,377.5,387.5,266.4053955078125,5771096
2017-08-28,389.0,389.5,381.5,381.5,262.2804260253906,3635713
2017-08-29,382.0,384.5,379.5,382.0,262.6241455078125,2258323
2017-08-30,384.5,386.0,380.5,380.5,261.5929260253906,2234536
2017-08-31,382.5,384.0,380.0,384.0,263.9991455078125,3497909
2017-09-01,385.0,386.0,382.5,383.5,263.6554260253906,2012541
2017-09-04,380.0,380.0,374.0,374.0,257.12420654296875,4931272
2017-09-05,377.5,379.0,369.0,372.0,255.74917602539062,3718206
2017-09-06,378.0,381.0,368.5,370.0,254.3741912841797,5807829
2017-09-07,374.0,374.0,362.0,362.0,248.87423706054688,5414825
2017-09-08,362.5,364.5,356.0,359.5,247.15550231933594,6727537
2017-09-11,363.0,366.0,359.0,359.5,247.15550231933594,4707998
2017-09-12,361.0,362.0,352.0,352.5,242.34298706054688,4514110
2017-09-13,352.5,352.5,332.0,335.0,230.31175231933594,12483659
2017-09-14,326.0,333.5,323.5,325.5,230.66610717773438,11007510
2017-09-15,325.5,331.0,315.5,331.0,234.56369018554688,13254297
2017-09-18,333.0,333.0,325.5,326.0,231.02041625976562,5008020
2017-09-19,331.0,331.0,320.0,320.5,227.12281799316406,5386553
2017-09-20,321.5,322.5,305.5,309.0,218.97332763671875,9756028
2017-09-21,310.5,317.0,306.0,312.0,221.0993194580078,9690056
2017-09-22,312.5,313.0,300.0,300.0,212.59547424316406,7698198
2017-09-25,303.0,303.0,286.0,286.5,203.0286865234375,12486408
2017-09-26,290.0,297.5,286.0,286.0,202.67434692382812,13217670
2017-09-27,295.0,297.0,287.5,287.5,203.7373504638672,9278180
2017-09-28,292.0,293.5,285.0,289.5,205.15463256835938,10027907
2017-09-29,289.5,290.0,276.5,282.5,200.19406127929688,12953691
2017-10-02,297.0,313.0,292.0,313.0,221.80795288085938,14538515
2017-10-03,316.5,318.0,305.0,305.5,216.4930419921875,14359290
2017-10-05,305.5,316.0,304.0,316.0,223.9338836669922,9944665
2017-10-06,326.0,328.0,319.5,328.0,232.43771362304688,15706767
2017-10-11,330.0,331.0,318.0,321.5,227.83148193359375,11634930
2017-10-12,323.0,326.0,319.0,320.5,227.12281799316406,4829422
2017-10-13,319.5,319.5,306.5,312.5,221.45362854003906,8119131
2017-10-16,312.5,322.0,309.5,312.0,221.0993194580078,6916414
2017-10-17,315.5,317.0,309.5,309.5,219.32769775390625,4686423
2017-10-18,315.0,315.5,298.0,304.0,215.43008422851562,7060428
2017-10-19,298.0,303.5,293.0,302.0,214.01275634765625,8594303
2017-10-20,300.0,304.5,295.5,303.5,215.0757598876953,5016244
2017-10-23,305.0,313.0,303.5,307.5,217.9103546142578,5610289
2017-10-24,310.0,310.5,306.0,308.5,218.61900329589844,3416906
2017-10-25,312.0,313.0,308.5,309.5,219.32769775390625,3046835
2017-10-26,309.5,317.0,305.0,313.0,221.80795288085938,4995165
2017-10-27,313.0,314.0,291.5,296.0,209.7608642578125,7357930
2017-10-30,305.0,316.0,301.0,314.5,222.87091064453125,8985599
2017-10-31,317.0,324.0,315.0,320.0,226.76852416992188,9859237
2017-11-01,324.0,330.0,321.5,327.5,232.08338928222656,8285069
2017-11-02,325.0,328.5,320.5,328.5,232.7920379638672,5611816
2017-11-03,330.5,333.5,323.5,328.5,232.7920379638672,6518395
2017-11-06,336.0,343.5,331.0,336.0,238.10693359375,16232945
2017-11-07,331.0,334.0,323.5,333.5,236.33531188964844,13383962
2017-11-08,339.0,339.0,326.0,326.0,231.02041625976562,10018791
2017-11-09,330.0,335.0,324.0,329.5,233.50070190429688,9393382
2017-11-10,331.0,337.5,327.5,337.5,239.16993713378906,8925023
2017-11-13,336.0,337.0,329.0,329.5,233.50070190429688,7178884
2017-11-14,334.5,337.0,332.5,337.0,238.81558227539062,6386090
